1.17343,48,24,-0.0109438,1,0.048374,-0.157656,1.07062,3
1.14368,48,24,-0.0109438,1,0.0367706,-0.151243,1.05804,3
1.1128,48,24,-0.0109438,1,0.024343,-0.141608,1.04506,3
1.08187,48,24,-0.0109438,1,0.0114459,-0.129179,1.03201,3
1.05205,48,24,-0.0109438,1,-0.00159674,-0.11442,1.01929,3
1.02454,48,24,-0.0109438,1,-0.0145263,-0.0977681,1.00736,3
1.00056,48,24,-0.0109438,1,-0.0271571,-0.0796054,0.996739,3
0.981255,48,24,-0.0109438,1,-0.0393688,-0.0602478,0.987965,3
0.96762,48,24,-0.0109438,1,-0.0510897,-0.0399415,0.981537,3
0.960405,48,24,-0.0109438,1,-0.0622767,-0.0188678,0.97784,3
0.959989,48,24,-0.0109438,1,-0.0728929,0.00284171,0.977071,3
0.966308,48,24,-0.0109438,1,-0.082889,0.0250806,0.979188,3
0.97885,48,24,-0.0109438,1,-0.0921916,0.047735,0.983906,3
0.996717,48,24,-0.0109438,1,-0.100704,0.0706481,0.990749,3
1.01873,48,24,-0.0109438,1,-0.108317,0.093587,0.999121,3
1.04356,48,24,-0.0109438,1,-0.11493,0.116218,1.00839,3
1.06979,48,24,-0.0109438,1,-0.12047,0.1381,1.01794,3
1.09604,48,24,-0.0109438,1,-0.124908,0.158707,1.02725,3
1.12107,48,24,-0.0109438,1,-0.128254,0.177512,1.03591,3
1.14395,48,24,-0.0109438,1,-0.130549,0.194104,1.04366,3
1.16419,48,24,-0.0109438,1,-0.131846,0.208313,1.05043,3
1.18179,48,24,-0.0109438,1,-0.132205,0.220245,1.05632,3
1.19716,48,24,-0.0109438,1,-0.131683,0.230226,1.06152,3
1.21092,48,24,-0.0109438,1,-0.130338,0.238671,1.06629,3
1.22374,48,24,-0.0109438,1,-0.128225,0.245982,1.07089,3
1.23626,48,24,-0.0109438,1,-0.125391,0.252481,1.07554,3
1.24898,48,24,-0.0109438,1,-0.121871,0.258388,1.08045,3
